,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8577873474828258,0.5425790754257908,0.1568213783403657,0.24331696672122205
Naive Bayes,0.7665333743463549,0.328794553464157,0.5773558368495078,0.41898443480479713
Random Forest,0.8543012406439044,0.5011389521640092,0.15471167369901548,0.23643202579258463
SVM,0.8590177381318569,0.6053811659192825,0.0949367088607595,0.1641337386018237
